English,Acoli,Luganda,Lumasaaba,Runyakore,Kiswahili
The government has constructed better health centers in rural areas.,Gamente oyubo odi yadi mabeco ikin gang.,Gavumenti ezimbye amalwaliro agasingako obulungi mu bitundu by'ebyalo.,Linamboo Lyombekhele kamakangillo kamalayi mubyalo,Gavumenti eyombekire amarwariro amarungi omu byaro.,Serikali imejenga vituo bora vya afya  vijijini.
His death was so sudden.,Toone obedo atura.,Enfa ye yali ya kibwatukira.,Khuufwa khwe Khwobele Khwokhangu,Akafa ekitaraariraine.,Kifo chake kilikuwa ghafla.
Our company celebrated twenty years of existence last year.,Kampuniwa okwero mwaka pyere aryo me rii.,Omwaka oguwedde kampuni yaffe yajaguza emyaka amakumi abiri.,Sitongoole syeffe syekhoyele kimiko kabili kye burambi kumwiko kubirire,"Kampuni yaitu ekajaguza emyaka makumi abiri, ey'obuhereza, omwaka oguhwaire.",Kampuni yetu ilisherehekea miaka ishirini ya  kuwepo mwaka jana.
Many people have lost their lives due to sexually transmitted diseases.,Dano mapol gurwenyo kwogi pi two makobo ki ibuto.,Abantu bangi abafudde olw'endwadde z'ekikaba.,Bbabandu bakaalii bafwiile khulwe bulwale bwe khu tubaana (indwasii),Abantu baingi bafiire ahabw'endwara z'obushambani.,Watu wengi wamepoteza maisha yao  kwa sababu ya magonjwa ya zinaa.
Civil servants receive their pension fund upon retirement.,Lutic pa gamente gigamo centegi me pencon ka guweko tic.,Abakozi ba gavumenti bafuna akasiimo kaabwe nga bawummudde.,Barambi be Linambo baba wumula kye linambo bafuna sisinza sye lipesi lyesi bafunatsaka,Abakozi ba gavumenti nibatunga akasiimo kaabo ku barikuhuumura.,Wafanyikazi wa umma wanapokea  fedha zao za pensheni juu ya kustaafu.
Teachers are also among civil servants.,Lupwonye bene lutic pa gamente.,N'abasomesa nabo bakozi ba gavumenti.,Bbalekelaa nabbo barambi bbe linambo,Abashomesa nabo nibabarirwa omu bakozi ba gavumenti.,Walimu pia ni miongoni mwa watumishi wa umma.
There is a high rate of crime in our village.,Timo bal tye lamal mada  i caro mewa.,Ku kyalo kyaffe obumenyi bw'amateeka bungi ddala.,Aliwoo butsonwakki bukali khusyalo syeffe,Ebihagaro byeyongyeire omu kyaro kyaitu.,Kuna kiwango cha juu cha uhalifu katika kijiji chetu.
Our town has been peaceful for many years.,Taunwa obedo ki kuc pi mwaka mapol.,Ekibuga kyaffe kibaddemu emirembe okumala emyaka egiwera.,Sirimba syeffe syabelle ni luukosi lukali kimiko kimikali,Orurembo rwaitu rutwire rwine obusingye kumara emyaka mingi.,Jiji letu limekuwa na amani kwa miaka mingi.
Some places are not safe during nighttime.,Kabedo mukene pe ber idyewor.,Ebyokwerinda ekiro mu bifo ebimu si birungi.,Aliwoo biffo bikhalii bilayii taa mubwille bwe musiloo/ angolobe,Emyanya emwe n'ey'akabi kahango omu kiro.,Maeneo mengine sio salama wakati wa usiku.
The parliament passes various laws every year.,Ot moko cik moko cik madwong mwaka ki mwaka.,Paliyamenti eyisa amateeka ag'enjawulo buli mwaka.,Sirekere sisipilisa kamakambila ke linambo sibirisa kamakambila buli mwakha,Eishengyero nirihinguza ebiragiro bitari bimwe na bimwe buri mwaka.,Bunge hupitisha sheria mbali mbali kila mwaka.
She is the heir to her late grandmother.,En aye lale kaka lyeli adane.,Ye musika wa nnyina.,Namukhanaa oyo niyee umusikhaa wo kukhu wewe,Niwe yaasikiire nyinenkuru owaafiire.,Yeye ndiye mrithi wa bibi yake marehemu.
A big number of people lack proper accommodation.,Dano mapol pe tye ki kabedo maber.,Abantu bangi tebalina bifo birungi we babeera.,Babandu bakalii si bali ni ekhukoona alayii taa,Omuhendo gw'abantu abaingi tibaine buraaro burungi.,Idadi kubwa ya watu wanakosa malazi sahihi.
Their new house was completed within six months.,Otgi manyen kityeko yubo ikare me dwe abicel.,Ennyumba yaabwe empya baagizimbira mu  mywezi mukaaga.,Inzu yawe injjakhaa bamalile khukyombekhela mu myeesii kisesaba,Enju yaabo ensya bakagimariiriza omu bunaku bw'ameezi mukaaga.,Nyumba yao mpya ilikamilishwa ndani ya kipindi cha miezi sita.
A lot of property is lost as a result of land conflicts.,Jami mapol bale macalo adwogi me lara ngom.,Ebintu bingi ebifa olw'obukuubagano bw'ettaka.,Bbibindu bikali byonekhela mubusayumba bubwama mukhupanila lilloba/lirome,Ebintu bingi nibibura ahabw'omuhondano gw'amataka.,Mali nyingi hupotea kwa sababu ya mizozo ya ardhi.
Land conflicts are so common in many parts of the country.,Lara ngom bene dwong ibut lobo man mapatpat.,Obukuubagano bw'ettaka butera okubaawo mu bitundu by'eggwanga bingi.,Bisayumba bi byama kwhiloba/lirome bikali nabbi mwinambo,Omuhondano gw'amataka ni mwingi omu bicweka bingi by'eihanga.,Migogoro ya ardhi ni ya kawaida sana katika sehemu nyingi za nchi.
This disciplinary committee is better than the previous one.,Dul ma neno lok kom woro eni ber loyo dul ma okato angeci.,Akakiiko akakwasisa empisa ke tulina kati kasinga kali akaliiwo.,Lukhikho lukangafulla luno lufuraa lulwamakho,"Akakiiko akarikukurira emicwe akariho hati, nikarungi kukira akarugireho.",Kamati hii ya nidhamu ni bora kuliko ile ya zamani.
